City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Sao Jose da Coroa Grande,80,BR,95,-8.9,-35.15,25.47,4.56
Half Moon Bay,75,US,93,37.46,-122.43,11.7,2.91
Lata,92,IN,100,30.78,78.62,0.42,0.66
Portland,20,US,70,45.52,-122.67,6.7,4.6
Harper,1,US,64,30.3,-99.24,11.7,5.7
Sangin,0,AF,88,32.07,64.85,0.64,1.06
Vardo,90,US,48,39.62,-77.74,1.0,2.6
Tasiilaq,40,GL,67,65.61,-37.64,-8.0,5.1
Iqaluit,75,CA,67,63.75,-68.52,-31.0,9.3
Mecca,0,SA,46,21.43,39.83,23.34,2.56
Flin Flon,75,CA,84,54.77,-101.88,-15.0,4.6
Rafaela,68,AR,88,-31.25,-61.49,25.44,5.46
Faanui,80,PF,100,-16.48,-151.75,27.97,10.11
Mujiayingzi,0,CN,68,42.12,118.78,-13.21,1.71
Fortuna,0,ES,26,38.18,-1.13,14.0,1.16
Coquimbo,0,CL,60,-29.95,-71.34,21.0,5.7
Homer,90,US,83,59.64,-151.54,-5.6,3.1
Yulara,0,AU,17,-25.24,130.99,33.0,3.6
Sitka,76,US,89,37.17,-99.65,1.64,8.06
Havoysund,75,NO,69,71.0,24.66,1.0,16.5
Husavik,68,CA,89,50.56,-96.99,-8.96,2.96
Carnarvon,0,ZA,35,-30.97,22.13,22.27,4.86
Sioux Lookout,20,CA,77,50.1,-91.92,-15.0,3.6
Mount Isa,0,AU,24,-20.73,139.49,34.0,5.7
Wadi Maliz,40,TN,75,36.47,8.55,9.0,4.1
Takapau,20,NZ,86,-40.02,176.35,13.57,1.96
Lasa,20,CY,67,34.92,32.53,14.0,5.1
Hami,44,CN,57,42.84,93.51,-15.06,0.71
Horodnytsya,88,UA,92,50.81,27.32,-1.44,5.06
Superior,90,US,96,39.95,-105.17,1.7,1.56
Vanimo,64,PG,100,-2.67,141.3,26.69,6.16
Te Anau,80,NZ,60,-45.41,167.72,8.54,3.11
Saint-Pierre,90,FR,93,48.95,4.24,7.0,9.3
Castro,90,CL,87,-42.48,-73.76,12.0,2.6
Dymer,80,UA,92,50.78,30.31,-4.0,4.0
Inirida,76,CO,67,3.87,-67.92,29.09,0.96
Malanje,76,AO,78,-9.54,16.35,21.89,2.81
Leningradskiy,8,RU,100,69.38,178.42,-28.14,3.81
Dunedin,56,NZ,96,-45.87,170.5,6.67,1.56
Laurel,20,US,78,45.67,-108.77,-1.7,10.8
Natal,40,BR,52,-5.81,-35.21,34.0,7.7
Tawang,0,BT,75,27.59,91.87,-3.86,0.41
Hobyo,8,SO,83,5.35,48.53,24.42,8.06
Mayo,90,CA,76,63.59,-135.9,-23.0,1.21
Constitucion,20,MX,60,23.99,-104.67,5.0,2.6
Severo-Kurilsk,80,RU,99,50.68,156.12,0.04,7.81
Jacareacanga,12,BR,52,-6.22,-57.76,33.14,1.46
Nybro,90,SE,95,56.75,15.91,2.0,1.5
Taoudenni,0,ML,20,22.68,-3.98,18.09,5.31
Usinsk,80,RU,82,66.0,57.56,-8.11,7.26
Whitehorse,40,CA,76,60.72,-135.06,-24.0,1.5
Altamont,68,CA,100,49.4,-98.5,-10.0,1.96
Nemuro,12,JP,100,43.32,145.57,-2.61,10.06
Hovd,75,NO,100,63.83,10.7,1.0,1.5
Meulaboh,24,ID,100,4.14,96.13,25.57,1.11
Vanderhoof,92,CA,91,54.02,-124.02,0.04,1.06
Nanortalik,92,GL,92,60.14,-45.24,-0.81,7.11
Sept-Iles,75,CA,62,50.2,-66.38,-4.0,3.1
Darayya,0,SY,61,33.46,36.24,8.0,3.1
La Orilla,0,MX,69,18.0,-102.23,29.04,0.66
Nipawin,1,CA,84,53.36,-104.02,-13.0,3.1
Chimbote,0,PE,82,-9.08,-78.59,24.27,4.11
Baherden,32,TM,81,38.44,57.43,1.44,1.71
East London,75,ZA,68,-33.02,27.91,22.0,4.1
Parana,90,BR,88,-7.52,-72.89,25.0,0.76
Charters Towers,36,AU,82,-20.07,146.27,21.32,2.51
Xiaoweizhai,92,CN,98,26.23,107.51,3.94,1.21
Urucara,48,BR,60,-2.54,-57.76,31.29,1.51
Boyabat,36,TR,79,41.47,34.77,-2.54,1.06
Bossangoa,0,CF,22,6.5,17.45,28.39,3.41
Lorengau,44,PG,100,-2.02,147.27,27.72,7.06
Puerto Ayora,20,EC,65,-0.74,-90.35,28.0,3.1
Palmer,90,US,84,61.6,-149.11,-16.7,1.5
Katobu,12,ID,99,-4.94,122.53,27.57,2.11
Inverell,0,AU,87,-29.78,151.11,14.19,1.11
Codrington,40,AU,93,-28.95,153.24,19.0,1.06
Norman Wells,20,CA,73,65.28,-126.83,-37.0,1.51
College,0,US,64,64.86,-147.8,-40.6,1.86
Chateaubelair,40,VC,62,13.28,-61.25,29.0,10.3
Tilichiki,8,RU,69,60.47,166.1,-23.31,1.76
Upernavik,32,GL,100,72.79,-56.15,-20.89,6.36
Jimenez,20,PA,48,8.54,-82.37,31.0,2.1
Cartagena,0,ES,58,37.63,-1.0,14.0,3.1
Kitimat,90,CA,99,54.02,-128.69,0.0,1.0
Mar del Plata,0,AR,31,-46.43,-67.52,20.39,6.16
Sao Gabriel da Cachoeira,20,BR,66,-0.13,-67.09,30.0,2.6
Biak,20,ID,100,-0.91,122.88,24.82,0.76
Petropavlovskoye,0,RU,91,46.79,142.5,-18.0,1.0
Galle,1,US,67,29.74,-97.91,15.6,4.1
La Paz,5,MX,100,24.15,-110.32,13.0,1.5
Ostrovnoy,88,RU,93,68.05,39.51,-6.96,2.16
Sao Joao da Barra,20,BR,55,-21.64,-41.05,31.0,6.2
Salalah,0,OM,21,17.01,54.1,28.0,4.1
Tikhvin,44,RU,90,59.64,33.53,-3.91,2.56
Santa Rosa,24,AR,79,-36.62,-64.29,28.59,2.56
Freetown,40,BS,60,26.61,-78.36,24.0,6.2
Lumeje,36,AO,59,-11.56,20.78,25.14,2.41
Taltal,0,CL,67,-25.41,-70.49,20.69,2.26
Hailar,56,CN,61,49.2,119.7,-19.99,2.76
Utete,12,TZ,68,-7.99,38.76,27.64,3.21
Oussouye,0,SN,51,12.49,-16.54,33.0,3.1
Ahipara,0,NZ,100,-35.17,173.16,15.44,2.06
Nome,75,US,75,30.04,-94.42,18.8,5.1
Carballo,75,ES,71,43.21,-8.69,11.0,4.6
Shakawe,12,BW,23,-18.36,21.84,31.34,2.96
Moose Factory,90,CA,83,51.26,-80.61,-21.0,3.6
Nouakchott,0,MR,5,18.08,-15.98,31.0,5.1
Boguchany,48,RU,71,58.38,97.46,-21.14,1.56
Vengurla,0,IN,100,15.86,73.64,22.52,2.71
North Platte,90,US,88,41.12,-100.77,-2.2,4.1
Genhe,68,CN,62,50.78,121.52,-20.59,1.26
Juneau,90,US,95,58.3,-134.42,0.6,1.21
Avarua,75,CK,100,-21.21,-159.78,24.0,1.0
Martil,0,MA,44,35.62,-5.28,15.0,7.7
Puerto Suarez,75,BO,59,-18.96,-57.8,33.0,2.6
Kloulklubed,75,PW,94,7.04,134.26,25.0,3.6
Ust-Kulom,88,RU,68,61.69,53.69,-9.24,4.01
Ulaangom,0,MN,57,49.98,92.07,-23.46,2.51
Bathsheba,20,BB,58,13.22,-59.52,29.0,7.7
Pedasi,0,PA,99,7.53,-80.03,26.22,7.81
Vila Velha,20,BR,78,-3.71,-38.6,28.0,2.6
Port Augusta,0,AU,64,-32.49,137.76,20.0,6.2
Zaykovo,80,RU,80,57.56,62.76,-11.11,6.36
North Bend,75,US,88,43.41,-124.22,6.1,3.1
Shalazhi,0,RU,76,43.1,45.36,4.0,2.0
Adre,0,TD,44,13.47,22.2,21.34,1.86
Hamilton,90,CA,85,43.26,-79.87,-4.0,3.1
Carutapera,56,BR,88,-1.2,-46.02,27.67,3.31
Merauke,36,ID,100,-8.49,140.4,24.07,3.21
Ponta do Sol,68,BR,66,-20.63,-46.0,28.52,1.71
Abalak,0,NE,19,15.46,6.28,23.97,4.21
Tommot,48,RU,63,58.97,126.27,-20.29,1.76
Vila Franca do Campo,88,PT,82,37.72,-25.43,16.0,6.2
Russellville,90,US,92,35.28,-93.13,5.0,2.1
Port Hardy,75,CA,76,50.7,-127.42,9.0,8.2
Vestmannaeyjar,90,IS,100,63.44,-20.27,2.0,2.6
Aswan,8,EG,91,24.09,32.9,13.52,1.21
Pacific Grove,75,US,100,36.62,-121.92,11.0,1.81
Plettenberg Bay,0,ZA,100,-34.05,23.37,18.82,4.16
Samaniego,40,CO,72,1.34,-77.59,20.0,2.6
Gravdal,75,NO,81,59.79,5.78,8.0,9.8
Bonga,0,ET,57,7.26,36.25,15.02,0.61
Sale,90,GB,87,53.42,-2.32,10.0,6.7
Cherskiy,56,RU,51,68.75,161.3,-27.39,0.86
Berdavan,0,AM,52,41.21,45.0,5.0,2.1
Maragogi,80,BR,95,-9.01,-35.22,25.47,4.56
Salinopolis,64,BR,100,-0.61,-47.36,27.27,4.56
Muisne,75,EC,88,0.61,-80.02,27.0,3.6
Yurla,80,RU,74,59.33,54.32,-10.34,3.81
Aklavik,90,CA,68,68.22,-135.01,-29.0,5.7
Lavrentiya,12,RU,90,65.58,-170.99,-23.64,10.96
Verkhoyansk,8,RU,0,67.55,133.39,-44.71,1.16
Smolyaninovo,0,RU,71,43.29,132.46,-16.0,0.96
Mawlaik,0,MM,93,23.63,94.42,13.67,1.41
Kununurra,20,AU,94,-15.77,128.74,25.0,1.5
Benavente,0,PT,50,38.98,-8.82,14.0,2.6
Eirunepe,92,BR,89,-6.66,-69.87,25.02,1.31
Quatre Cocos,40,MU,74,-20.21,57.76,28.0,5.1
Noumea,90,NC,94,-22.28,166.46,24.0,3.1
Chapais,90,CA,70,49.78,-74.86,-21.0,5.7
Siena,0,IT,45,43.32,11.33,9.0,0.5
Sola,75,FI,85,62.78,29.36,-4.0,4.6
Tucumcari,1,US,70,35.17,-103.73,5.0,3.6
Saint-Francois,90,FR,87,46.42,3.91,6.0,2.1
Segou,0,SN,19,12.41,-12.29,33.89,2.76
Cidreira,80,BR,89,-30.17,-50.22,25.42,6.61
Kodaikanal,0,IN,87,10.24,77.49,13.02,0.76
Haimen,0,CN,100,31.87,121.18,0.09,2.36
San Juan de la Maguana,20,DO,69,18.81,-71.23,28.0,4.1
Tongzi,80,CN,90,28.78,105.09,4.92,2.06
Tarakan,68,ID,100,3.3,117.63,26.04,2.56
Chuy,76,UY,87,-33.69,-53.46,23.89,6.11
Katsuura,40,JP,80,33.93,134.5,5.0,3.6
Lac du Bonnet,76,CA,85,50.25,-96.06,-7.71,3.86
Las Palmas,40,PE,290,-6.53,-76.35,17.0,2.6
Clyde River,20,CA,73,70.47,-68.59,-35.0,3.1
Phitsanulok,20,TH,89,16.82,100.26,21.94,1.51
Veraval,92,FR,100,49.65,0.71,9.0,5.1
Egvekinot,0,RU,0,66.32,-179.17,-43.09,1.66
Zaria,0,NG,25,11.11,7.72,25.09,2.96
Nago,20,IT,80,45.88,10.89,3.0,0.5
Garmsar,8,IR,69,35.22,52.34,-4.31,0.76
Provideniya,0,RU,100,64.42,-173.23,-24.14,6.96
Kampot,20,KH,69,10.62,104.18,28.0,4.6
Tamandare,92,BR,98,-8.28,-70.75,23.22,2.41
Iskateley,80,RU,81,67.68,53.15,-9.54,8.26
Colquechaca,48,BO,75,-18.7,-66.0,14.04,0.96
Esperance,20,TT,51,10.24,-61.45,30.0,6.7
Roald,0,NO,100,62.58,6.12,0.0,2.1
Douglas,1,US,92,31.34,-109.55,1.1,1.86
Itoman,75,JP,68,26.12,127.67,20.0,7.2
Leninskoye,76,RU,76,54.82,82.85,-23.0,2.0
Mattoon,90,US,100,39.48,-88.38,0.7,4.6
Kaitangata,68,NZ,84,-46.28,169.85,9.02,1.71
Cullen,90,US,96,32.97,-93.45,11.7,2.1
Cockburn Town,68,TC,100,21.46,-71.14,25.69,8.16
Ust-Nera,20,RU,0,64.57,143.24,-40.96,0.86
Saint George,40,GR,78,39.45,22.34,3.0,3.1
Haines Junction,20,CA,30,60.75,-137.51,-30.56,0.76
Narsaq,75,GL,69,60.91,-46.05,1.0,2.6
Toora-Khem,32,RU,67,52.47,96.11,-22.09,1.51
Tautira,75,PF,78,-17.73,-149.15,28.0,8.7
Los Llanos de Aridane,75,ES,60,28.66,-17.92,20.0,1.0
Lee,90,US,67,42.45,-86.09,-1.1,4.1
Vila,0,IT,30,45.18,8.4,8.0,2.1
Arauca,20,VE,49,7.08,-70.76,32.0,4.6
Kirakira,80,SB,100,-10.46,161.92,26.72,2.16
Elliot Lake,1,CA,71,46.37,-82.65,-13.0,3.6
Zhanaozen,0,KZ,69,43.35,52.85,3.69,5.91
Alta Floresta,20,BR,58,-9.87,-56.08,31.0,2.6
Caruray,20,PH,100,10.31,119.01,26.59,7.91
Palora,75,EC,83,-1.7,-77.97,24.0,3.1
Luang Prabang,24,LA,92,19.89,102.14,16.02,0.71
Gazli,0,UZ,85,40.13,63.45,-0.04,4.56
Caravelas,0,BR,100,-17.73,-39.27,27.19,4.96
Tarko-Sale,80,RU,79,64.92,77.78,-24.69,7.96
Leshukonskoye,88,RU,71,64.9,45.76,-6.41,4.26
Naples,20,US,57,26.14,-81.79,26.0,4.6
Broken Hill,0,AU,26,-31.97,141.45,28.0,7.2
Tiarei,75,PF,78,-17.53,-149.33,28.0,8.7
Sao Filipe,0,CV,88,14.9,-24.5,23.69,3.86
Xining,0,CN,55,36.62,101.77,-19.54,0.96
Laguna,5,MX,100,27.52,-110.01,14.0,2.1
Baghdad,0,IQ,57,33.3,44.38,10.0,2.1
Harer,90,US,84,42.19,-111.17,-13.0,1.71
North Haven,20,US,45,41.39,-72.86,-2.2,4.1
Slave Lake,75,CA,92,55.28,-114.77,-12.0,2.1
Medvedka,88,RU,83,61.17,46.39,-9.24,6.71
Mandalgovi,0,MN,54,45.76,106.27,-22.14,1.36
Hohhot,0,CN,71,40.81,111.65,-15.0,1.0
Makakilo City,1,US,89,21.35,-158.09,20.0,2.1
Bilma,20,NE,19,18.69,12.92,19.97,4.46
Guerrero Negro,48,MX,90,27.97,-114.04,14.79,1.76
Dingle,68,PH,94,11.0,122.67,23.72,4.71
Rayadrug,0,IN,71,14.7,76.87,15.82,3.46
Vermillion,90,US,81,42.78,-96.93,-2.8,6.2
Morondava,92,MG,100,-20.3,44.28,25.67,2.81
Senanga,68,ZM,48,-16.1,23.3,29.32,2.21
West Bay,40,GB,81,50.71,-2.76,10.0,7.2
Lekoni,20,GA,88,-1.58,14.26,23.59,3.01
Kanniyakumari,24,IN,100,8.08,77.57,27.02,10.96
Porto Novo,20,BR,45,-23.68,-45.44,31.0,3.1
Emerald,0,AU,69,-23.53,148.16,24.0,3.6
Fort Nelson,40,CA,83,58.81,-122.69,-23.0,1.0
Tecolutla,44,MX,56,17.31,-98.74,22.79,0.61
Havre-Saint-Pierre,90,CA,79,50.23,-63.6,-5.0,4.1
Severnoye,92,RU,96,54.09,52.54,-0.06,6.11
Camacari,75,BR,66,-12.7,-38.32,30.0,4.6
Kerema,64,PG,98,-7.96,145.78,21.89,1.06
Zhireken,20,RU,35,52.82,117.29,-24.21,1.01
Cabedelo,75,BR,94,-6.97,-34.84,25.0,7.7
Malyye Derbety,44,RU,82,47.95,44.68,-4.04,5.51
Lenger,0,KZ,46,42.18,69.89,0.0,2.0
Uyutne,88,UA,100,45.2,33.3,5.02,6.46
Kaduna,0,NG,22,10.52,7.44,27.09,3.86
Adrar,0,DZ,26,27.87,-0.29,15.0,5.7
Puerto Baquerizo Moreno,75,EC,78,-0.9,-89.6,27.0,4.6
Grindavik,90,IS,100,63.84,-22.43,1.0,2.6
Puerto Ayacucho,0,CO,52,5.66,-67.63,33.0,2.6
Naze,40,NG,41,5.43,7.07,35.0,2.1
Poyarkovo,68,RU,66,49.62,128.65,-22.74,1.21
Pangoa,76,PE,89,-12.12,-73.0,21.72,1.21
Lotofaga,44,WS,100,-13.98,-171.86,27.27,1.66
Raudeberg,40,NO,100,61.99,5.14,2.0,1.5
Buckeye,1,US,87,33.37,-112.58,11.1,2.6
Sfantu Gheorghe,0,RO,92,44.65,26.83,-4.0,2.6
Bonthe,8,SL,61,7.53,-12.5,30.29,2.86
Rio Verde de Mato Grosso,8,BR,69,-18.92,-54.84,31.34,2.41
Inhambane,20,MZ,74,-23.87,35.38,31.0,5.1
Abashiri,56,JP,78,44.01,144.25,-8.09,3.66
Quzhou,64,CN,88,28.97,118.86,3.72,1.76
Talara,0,PE,290,-4.58,-81.27,17.0,5.1
Manta,0,RO,60,45.1,24.1,-12.49,1.16
Bundaberg,56,AU,83,-24.87,152.35,21.0,3.6
Katangli,0,RU,100,51.71,143.23,-14.71,6.91
Zhigansk,48,RU,34,66.77,123.37,-30.54,3.91
Vao,0,EE,89,59.1,26.19,-4.69,3.21
Richards Bay,0,ZA,83,-28.77,32.06,22.57,2.21
Tete,20,MZ,66,-16.16,33.59,31.0,1.5
Olinda,40,EC,66,-2.03,-79.75,29.0,1.5
Lakes Entrance,36,AU,94,-37.88,147.99,17.67,0.31
Steamboat Springs,90,US,95,40.48,-106.83,-4.4,2.1
Bushenyi,56,UG,79,-0.54,30.19,19.59,1.06
Alzamay,64,RU,61,55.55,98.67,-15.49,3.96
Umm Kaddadah,8,SD,47,13.6,26.69,18.64,2.96
Abaete,80,BR,64,-19.16,-45.45,29.39,1.66
Praya,40,ID,94,-8.71,116.27,26.0,0.5
Skrunda,68,LV,81,56.68,22.02,1.0,1.5
Shasta Lake,90,US,100,40.68,-122.36,5.0,2.1
Kassala,0,SD,36,15.45,36.38,23.44,2.66
Iberia,92,PE,73,-11.41,-69.49,26.97,0.36
Wundanyi,56,KE,53,-3.4,38.37,25.27,3.41
Xiangxiang,92,CN,100,27.73,112.52,4.79,3.56
Chhatak,0,BD,88,25.03,91.67,8.77,1.06
Phan Thiet,32,VN,87,10.93,108.1,26.02,7.06
Kungurtug,56,RU,56,50.6,97.53,-20.84,1.66
Mwene-Ditu,36,CD,95,-7.01,23.45,22.27,0.26
San Andres,92,PH,100,13.32,122.68,25.09,7.96
Peniche,0,PT,50,39.36,-9.38,14.0,2.6
Papara,20,BR,78,-3.98,-38.73,28.0,2.6
Valparaiso,90,US,78,41.47,-87.06,-1.0,5.1
Deputatskiy,44,RU,0,69.3,139.9,-36.81,1.21
Waipawa,20,NZ,86,-39.94,176.59,13.57,1.96
China,0,MX,61,25.71,-99.24,23.52,6.36
Black River,75,JM,65,18.03,-77.85,28.0,7.7
Indramayu,92,ID,94,-4.05,103.78,21.34,1.06
Bose,0,IT,39,45.46,8.01,8.0,0.5
Knysna,20,ZA,60,-34.04,23.05,20.0,5.1
Bowen,40,AU,88,-20.01,148.25,22.0,3.1
Nacala,80,MZ,91,-14.56,40.69,28.19,6.36
Verkh-Usugli,12,RU,45,52.7,115.17,-27.19,1.31
Manicore,12,BR,61,-5.81,-61.3,31.67,1.36
Vysha,68,RU,75,53.85,42.38,-12.59,3.86
Makato,56,PH,100,11.71,122.29,26.07,7.06
Maceio,40,BR,58,-9.67,-35.74,29.0,7.7
Clovis,75,US,100,36.83,-119.7,11.1,2.56
Jalapa,0,GT,56,14.63,-89.98,21.0,1.46
Kruisfontein,0,ZA,82,-34.0,24.73,18.67,5.11
Esna,24,RO,95,45.2,27.57,-6.41,3.66
Rabo de Peixe,76,PT,82,37.8,-25.58,16.0,6.2
Bam,0,IR,58,29.11,58.36,-1.56,1.01
Carauari,48,BR,63,-4.88,-66.9,31.42,2.66
Goderich,68,CA,85,43.74,-81.71,-4.41,3.76
Luganville,80,VU,100,-15.51,167.18,27.59,2.31
Moen,32,NO,92,69.13,18.61,-1.0,12.3
Rosa Zarate,32,EC,80,0.33,-79.47,27.04,1.06
Linqiong,0,CN,93,30.42,103.46,4.0,1.0
Russell,0,AR,47,-33.01,-68.8,27.0,4.1
Vaitape,88,PF,100,-16.52,-151.75,27.14,8.76
Faya,0,SA,82,18.39,42.45,17.0,2.6
Miranda,40,CO,54,3.25,-76.23,27.0,1.0
Maningrida,80,AU,100,-12.05,134.23,24.39,2.76
Ancud,90,CL,87,-41.87,-73.83,12.0,2.6
Santa Cruz del Sur,12,CU,68,20.71,-78.0,27.82,5.76
